[Type: Postech2019_Src],[Date: 08/29/19 09:39:44],,,,,,,,,,,,,,,,,,,
X1_InP,X2_InP,X3_InP,X4_InP,X5_InP,X6_InP,X7_InP,X8_InP,X9_InP,X10_InP,X11_InP,X12_InP,X13_InP,X14_InP,????,Post??,????????,|????-??????|,|Post??-??????|,??,????
2.471,267.87,267.71,666.1,2495.1,3114,1127,1105,302,2225,2919,0.35724,2,22,267.5680031,265.88,38.36,,,,0.00277
2.471,249.32,249.18,666.2,2554.1,2956.8,1127,1102,302,2225,2919,0.35724,2,22,248.931975,247.404,38.36,,,,0.00277
2.471,226.53,226.38,666.3,3253.3,3398,1127,1099,302,2225,2919,0.35724,2,22,226.8999594,225.609,38.36,,,,0.00277
2.471,205.27,205.13,666.3,3279,3106,1127,1097,302,2225,2919,0.35724,2,22,205.3621805,204.244,38.36,,,,0.00277
2.471,184.55,184.47,666.4,3264,3041,1127,1095,302,2225,2919,0.35724,2,22,184.7567195,183.803,38.36,,,,0.00277
2.471,164.85,164.72,666.4,3158.1,3015.9,1127,1093,302,2225,2919,0.35724,2,22,165.114896,164.309,38.36,,,,0.00277
2.471,146.44,146.38,666.5,3119.9,2875.7,1127,1089,302,2225,2919,0.35724,2,22,146.7060138,146.039,38.36,,,,0.00277
2.471,129.27,129.17,666.6,2903.3,2852.5,1127,1087,302,2225,2919,0.35724,2,22,129.5978693,129.051,38.36,,,,0.00277
2.471,113.64,113.57,666.6,2862.1,2718.8,1127,1083,302,2225,2919,0.35724,2,22,113.9178781,113.49,38.36,,,,0.00277
2.471,99.46,99.36,666.7,2798.6,2690.4,1127,1080,302,2225,2919,0.35724,2,22,99.77095521,99.453,38.36,,,,0.00277
2.471,87.05,87,666.8,2685.7,2569,1127,1073,302,2225,2919,0.35724,2,22,87.33746961,87.096,38.36,,,,0.00277
2.471,76.25,76.19,666.8,2577.3,2475.5,1127,1068,302,2225,2919,0.35724,2,22,76.47821391,76.311,38.36,,,,0.00277
2.461,69.01,69.01,666.9,2986.1,2695.6,1127,867,302,2225,2919,0.35724,2,22,69.95059601,69.762,38.36,,,,0.00277
2.461,62.77,62.76,666.9,3026.6,3042.3,1127,864,302,2225,2919,0.35724,2,22,64.26485391,64.107,38.36,,,,0.00277
2.461,57.44,57.22,666.9,3049.6,3200.6,1127,860,302,2225,2919,0.35724,2,22,58.98965691,58.864,38.36,,,,0.00277
2.461,52.22,52.14,666.9,3191.2,3243.1,1127,857,302,2225,2919,0.35724,2,22,54.01244251,53.909,38.36,,,,0.00277
2.461,47.52,47.44,666.9,3229.7,3270.1,1127,851,302,2225,2919,0.35724,2,22,49.39171551,49.309,38.36,,,,0.00277
2.461,43.45,43.39,667,3154.8,3189.8,1127,848,302,2225,2919,0.35724,2,22,45.26053421,45.189,38.36,,,,0.00277
2.461,39.85,39.75,667,3071.5,3128.4,1127,841,302,2225,2919,0.35724,2,22,41.56808341,41.503,38.36,,,,0.00277
2.461,36.71,36.68,667,2964.4,2984.4,1127,835,302,2225,2919,0.35724,2,22,38.32628791,38.262,38.36,0.033712093,0.098,????,0.00277
2.461,280.51,280.43,657.9,3098,2976.8,1120,1109,302,2225,2512,0.35724,0,16,279.9620214,278.262,45.23,,,,0.00277
2.461,256.76,256.71,658,3099,3089.8,1120,1108,302,2225,2512,0.35724,0,16,256.579951,255.069,45.23,,,,0.00277
2.461,233.97,233.93,658.1,3098.8,2926.8,1120,1106,302,2225,2512,0.35724,0,16,233.7174268,232.397,45.23,,,,0.00277
2.461,211.91,211.87,658.2,3077.3,2953.8,1120,1104,302,2225,2512,0.35724,0,16,211.8558342,210.705,45.23,,,,0.00277
2.461,190.82,190.8,658.3,3075.1,2768.4,1120,1101,302,2225,2512,0.35724,0,16,190.6601567,189.675,45.23,,,,0.00277
2.461,170.67,170.6,658.3,3014.5,2728.2,1120,1099,302,2225,2512,0.35724,0,16,170.5452047,169.721,45.23,,,,0.00277
2.461,152.1,152.09,658.4,2765.8,2590.6,1120,1096,302,2225,2512,0.35724,0,16,151.9860112,151.288,45.23,,,,0.00277
2.461,134.61,134.57,658.5,2723.6,2555.6,1120,1093,302,2225,2512,0.35724,0,16,134.5406212,133.979,45.23,,,,0.00277
2.461,118.49,118.66,658.6,2571.6,2459.4,1120,1089,302,2225,2512,0.35724,0,16,118.6302117,118.173,45.23,,,,0.00277
2.461,104.03,104.09,658.6,2488.4,2450.8,1120,1085,302,2225,2512,0.35724,0,16,104.1536764,103.809,45.23,,,,0.00277
2.521,91.07,91.2,658.7,2436.6,2353.9,1120,1081,302,2225,2512,0.35724,0,16,91.22380291,90.903,45.23,,,,0.00277
2.521,79.69,79.73,658.8,2340.9,2311.2,1120,1076,302,2225,2512,0.35724,0,16,79.77741581,79.547,45.23,,,,0.00277
2.521,69.68,69.79,658.8,2282.5,2217.1,1120,1068,302,2225,2512,0.35724,0,16,69.78759561,69.616,45.23,,,,0.00277
2.521,61.2,61.24,658.9,2198.2,2181.8,1120,1061,302,2225,2512,0.35724,0,16,61.25546491,61.141,45.23,,,,0.00277
2.521,53.74,53.97,658.9,2208.9,2067,1120,1052,302,2225,2512,0.35724,0,16,53.89077861,53.815,45.23,,,,0.00277
2.521,44.31,44.33,658.9,2747,2682,1120,1041,302,2225,2512,0.35724,0,16,45.19858261,45.235,45.23,0.031417393,0.005,Post??,0.00277
2.521,287.39,287.2,657.8,2351.6,2574.8,1128,1116,302,2224,3124,0.35724,0,22,286.2135837,284.246,40.4,,,,0.00277
2.521,268.88,268.68,657.9,2367,2875.8,1128,1113,302,2224,3124,0.35724,0,22,268.2760549,266.466,40.4,,,,0.00277
2.521,246.04,245.86,658,3103.5,3010.2,1128,1110,302,2224,3124,0.35724,0,22,245.7632139,244.193,40.4,,,,0.00277
